Grid_Sco00re			Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol0027	mol27	0	-20.190086	-44.268158	24.078072	6.210591
2hoj_LIGfilip-balloon_mol0028	mol28	0	-0.480652	-40.294518	39.813866	6.164252
2hoj_LIGfilip-balloon_mol0029	mol29	0	-1.575523	-42.190208	40.614685	11.351664
2hoj_LIGfilip-balloon_mol0030	mol30	0	-22.375151	-37.079430	14.704279	3.502361
2hoj_LIGfilip-balloon_mol0031	mol31	0	-2.017899	-44.536724	42.518826	13.700746
2hoj_LIGfilip-balloon_mol0032	mol32	0	-2.092871	-33.877934	31.785063	9.477601
2hoj_LIGfilip-balloon_mol0033	mol33	0	-22.907982	-40.109219	17.201237	4.051415
2hoj_LIGfilip-balloon_mol0034	mol34	0	-24.615252	-42.658497	18.043245	6.398767
2hoj_LIGfilip-balloon_mol0035	mol35	0	-24.502979	-43.034538	18.531559	5.357749
2hoj_LIGfilip-balloon_mol0036	mol36	0	-6.189629	-49.164158	42.974529	12.595657
2hoj_LIGfilip-balloon_mol0037	mol37	0	-60.728443	-39.578243	-21.150200	7.643100
2hoj_LIGfilip-balloon_mol0038	mol38	0	-26.006142	-43.146442	17.140301	11.250425
2hoj_LIGfilip-balloon_mol0039	mol39	0	-62.953056	-48.921246	-14.031813	5.346030
2hoj_LIGfilip-balloon_mol0040	mol40	0	-3.073879	-50.890236	47.816357	6.153969
2hoj_LIGfilip-balloon_mol0041	mol41	0	4.074856	-37.410637	41.485493	3.031028
2hoj_LIGfilip-balloon_mol0042	mol42	0	-6.012802	-43.610882	37.598080	5.761755
2hoj_LIGfilip-balloon_mol0043	mol43	0	-26.775248	-43.576614	16.801367	14.817880
2hoj_LIGfilip-balloon_mol0044	mol44	0	-28.941225	-47.490509	18.549284	9.561209
2hoj_LIGfilip-balloon_mol0045	mol45	0	-25.043169	-41.129517	16.086348	2.090648
2hoj_LIGfilip-balloon_mol0046	mol46	0	-22.999222	-40.655327	17.656105	6.347710
2hoj_LIGfilip-balloon_mol0047	mol47	0	-32.246696	-39.326675	7.079977	4.340336
2hoj_LIGfilip-balloon_mol0048	mol48	0	-25.660009	-39.178391	13.518381	0.832063
2hoj_LIGfilip-balloon_mol0049	mol49	0	-44.327881	-42.918003	-1.409879	2.230514
2hoj_LIGfilip-balloon_mol0050	mol50	0	-43.678123	-42.816914	-0.861211	2.949940
2hoj_LIGfilip-balloon_mol0051	mol51	0	-18.581585	-33.997849	15.416264	3.145947
2hoj_LIGfilip-balloon_mol0052	mol52	0	-30.919144	-37.859642	6.940499	9.376701
2hoj_LIGfilip-balloon_mol0053	mol53	0	-72.267815	-35.842636	-36.425179	7.166208
2hoj_LIGfilip-balloon_mol0054	mol54	0	-20.714354	-39.428757	18.714403	4.754307
2hoj_LIGfilip-balloon_mol0055	mol55	0	-21.141258	-39.795769	18.654510	6.008744
2hoj_LIGfilip-balloon_mol0056	mol56	0	-28.222429	-36.962265	8.739836	6.562738
2hoj_LIGfilip-balloon_mol0057	mol57	0	-24.766830	-44.685169	19.918339	12.098430
2hoj_LIGfilip-balloon_mol0058	mol58	0	-22.324802	-39.521172	17.196369	4.815203
2hoj_LIGfilip-balloon_mol0059	mol59	0	-21.061842	-39.612659	18.550817	4.256042
2hoj_LIGfilip-balloon_mol0060	mol60	0	0.506538	-46.509579	47.016117	4.279218
2hoj_LIGfilip-balloon_mol0061	mol61	0	9.871094	-33.053600	42.924694	3.036156
2hoj_LIGfilip-balloon_mol0062	mol62	0	-27.003105	-35.419193	8.416088	6.270601
2hoj_LIGfilip-balloon_mol0063	mol63	0	4.715672	-42.538937	47.254608	9.577054
2hoj_LIGfilip-balloon_mol0064	mol64	0	-27.011297	-49.747063	22.735765	15.447093
2hoj_LIGfilip-balloon_mol0065	mol65	0	-18.039745	-43.208469	25.168724	4.470234
2hoj_LIGfilip-balloon_mol0066	mol66	0	-7.103138	-54.331097	47.227959	3.743061
2hoj_LIGfilip-balloon_mol0067	mol67	0	-25.056551	-41.536762	16.480211	8.540002
2hoj_LIGfilip-balloon_mol0068	mol68	0	-27.685843	-44.466484	16.780642	4.942299
2hoj_LIGfilip-balloon_mol0069	mol69	0	-33.263290	-37.325184	4.061894	5.798547
2hoj_LIGfilip-balloon_mol0070	mol70	0	-49.701279	-46.495377	-3.205903	10.300771
2hoj_LIGfilip-balloon_mol0071	mol71	0	-45.501942	-42.065674	-3.436268	8.279488
2hoj_LIGfilip-balloon_mol0072	mol72	0	-20.755907	-40.184742	19.428835	8.995297
2hoj_LIGfilip-balloon_mol0073	mol73	0				
2hoj_LIGfilip-balloon_mol0074	mol74	0	-53.544231	-47.321712	-6.222518	5.527772
2hoj_LIGfilip-balloon_mol0075	mol75	0	-80.318253	-47.531723	-32.786526	4.590884
2hoj_LIGfilip-balloon_mol0076	mol76	0	-29.327700	-45.254536	15.926836	5.827478
2hoj_LIGfilip-balloon_mol0077	mol77	0	-21.538479	-40.136288	18.597809	15.558020
2hoj_LIGfilip-balloon_mol0078	mol78	0	-22.001925	-39.785938	17.784014	6.339074
2hoj_LIGfilip-balloon_mol0079	mol79	0	-32.323696	-40.316036	7.992340	6.898178
2hoj_LIGfilip-balloon_mol0080	mol80	0	0.029789	-41.740494	41.770283	12.240286
2hoj_LIGfilip-balloon_mol0081	mol81	0	-22.864935	-42.624958	19.760023	12.172389
2hoj_LIGfilip-balloon_mol0082	mol82	0	3.516224	-41.039272	44.555496	8.236960
2hoj_LIGfilip-balloon_mol0083	mol83	0	-27.523838	-45.865685	18.341846	11.060230
2hoj_LIGfilip-balloon_mol0084	mol84	0	-46.601540	-44.733650	-1.867889	8.894635
2hoj_LIGfilip-balloon_mol0085	mol85	0	-9.907661	-43.776749	33.869087	8.953953
2hoj_LIGfilip-balloon_mol0086	mol86	0	-20.570370	-38.662346	18.091976	13.442563
2hoj_LIGfilip-balloon_mol0087	mol87	0	-0.455956	-38.652912	38.196957	3.446421
2hoj_LIGfilip-balloon_mol0088	mol88	0	-20.896606	-42.620674	21.724068	4.973976
2hoj_LIGfilip-balloon_mol0089	mol89	0	-23.311031	-38.650879	15.339848	9.705991
2hoj_LIGfilip-balloon_mol0090	mol90	0	-14.507263	-37.660442	23.153179	3.780835
2hoj_LIGfilip-balloon_mol0091	mol91	0	-34.751896	-34.920288	0.168391	2.297108
2hoj_LIGfilip-balloon_mol0092	mol92	0	-17.801552	-36.042740	18.241188	11.420888
2hoj_LIGfilip-balloon_mol0093	mol93	0	-19.667437	-38.405621	18.738184	8.767103
2hoj_LIGfilip-balloon_mol0094	mol94	0	-21.369507	-41.053143	19.683636	7.550377
2hoj_LIGfilip-balloon_mol0095	mol95	0	-3.795124	-47.746960	43.951836	5.984165
2hoj_LIGfilip-balloon_mol0096	mol96	0	-27.911852	-51.228001	23.316149	11.428508
2hoj_LIGfilip-balloon_mol0097	mol97	0	-22.505123	-39.949383	17.444260	4.454970
2hoj_LIGfilip-balloon_mol0098	mol98	0	-5.564297	-53.072426	47.508129	14.717288
2hoj_LIGfilip-balloon_mol0099	mol99	0	-1.349854	-37.018021	35.668167	2.637236
2hoj_LIGfilip-balloon_mol0100	mol100	0	-26.164961	-44.595314	18.430353	8.169636
2hoj_LIGfilip-balloon_mol0101	mol101	0	-23.696873	-44.359612	20.662739	7.871151
2hoj_LIGfilip-balloon_mol0102	mol102	0	-29.377707	-46.657314	17.279608	13.929571
2hoj_LIGfilip-balloon_mol0103	mol103	0	12.950798	-30.686867	43.637665	4.756114
2hoj_LIGfilip-balloon_mol0104	mol104	0	-50.049358	-43.336327	-6.713032	8.390985
2hoj_LIGfilip-balloon_mol0105	mol105	0	-61.263420	-45.436306	-15.827114	6.557848
2hoj_LIGfilip-balloon_mol0106	mol106	0	-23.775476	-41.915676	18.140200	2.537882
2hoj_LIGfilip-balloon_mol0107	mol107	0	-50.176083	-34.487957	-15.688126	6.434616
2hoj_LIGfilip-balloon_mol0108	mol108	0	-0.574322	-46.598053	46.023731	10.527966
2hoj_LIGfilip-balloon_mol0109	mol109	0	-47.201447	-40.649006	-6.552443	7.031096
2hoj_LIGfilip-balloon_mol0110	mol110	0	-17.127026	-37.947140	20.820114	2.071146
2hoj_LIGfilip-balloon_mol0111	mol111	0	10.053879	-33.555294	43.609173	5.006351
2hoj_LIGfilip-balloon_mol0112	mol112	0	3.348175	-40.595139	43.943314	6.897122
2hoj_LIGfilip-balloon_mol0113	mol113	0	-51.362633	-47.833267	-3.529366	7.242908
2hoj_LIGfilip-balloon_mol0114	mol114	0	-20.090754	-37.964539	17.873785	8.982418
2hoj_LIGfilip-balloon_mol0115	mol115	0	-49.332783	-40.860172	-8.472610	14.457750
2hoj_LIGfilip-balloon_mol0116	mol116	0	-73.002625	-35.418736	-37.583885	7.884435
2hoj_LIGfilip-balloon_mol0117	mol117	0	-21.027348	-42.637775	21.610428	6.100327
2hoj_LIGfilip-balloon_mol0118	mol118	0	-78.340866	-44.126591	-34.214275	2.663112
2hoj_LIGfilip-balloon_mol0119	mol119	0	-21.352221	-41.149445	19.797224	5.849988
2hoj_LIGfilip-balloon_mol0120	mol120	0	-7.470287	-45.095287	37.625000	12.274742
2hoj_LIGfilip-balloon_mol0121	mol121	0	-49.951416	-40.134132	-9.817282	11.658081
2hoj_LIGfilip-balloon_mol0122	mol122	0	-4.410275	-47.983219	43.572945	10.183154
2hoj_LIGfilip-balloon_mol0123	mol123	0	-3.031269	-39.179245	36.147976	14.050926
2hoj_LIGfilip-balloon_mol0124	mol124	0	-20.725430	-42.591057	21.865627	4.653918
2hoj_LIGfilip-balloon_mol0125	mol125	0	-50.837021	-33.934872	-16.902149	7.833042
2hoj_LIGfilip-balloon_mol0126	mol126	0	-13.090755	-48.530098	35.439342	6.942744
2hoj_LIGfilip-balloon_mol0127	mol127	0	-27.101547	-47.258724	20.157177	6.773174
2hoj_LIGfilip-balloon_mol0128	mol128	0	-20.819328	-35.959053	15.139726	5.016799
2hoj_LIGfilip-balloon_mol0129	mol129	0	1.527771	-42.097775	43.625546	6.823762
2hoj_LIGfilip-balloon_mol0130	mol130	0	-25.571112	-43.570881	17.999769	7.327281
2hoj_LIGfilip-balloon_mol0131	mol131	0	-3.522655	-47.641029	44.118374	7.100719
2hoj_LIGfilip-balloon_mol0132	mol132	0	7.495293	-26.875057	34.370350	3.399222
2hoj_LIGfilip-balloon_mol0133	mol133	0	-8.249466	-41.736561	33.487095	8.808725
2hoj_LIGfilip-balloon_mol0134	mol134	0	-9.563471	-34.379520	24.816050	4.282685
2hoj_LIGfilip-balloon_mol0135	mol135	0	3.841675	-42.398670	46.240345	20.194845
2hoj_LIGfilip-balloon_mol0136	mol136	0	-46.479179	-33.614578	-12.864603	6.789129
2hoj_LIGfilip-balloon_mol0137	mol137	0	-50.600201	-40.492462	-10.107739	4.927827
2hoj_LIGfilip-balloon_mol0138	mol138	0	-7.177971	-52.270958	45.092987	10.400105
2hoj_LIGfilip-balloon_mol0139	mol139	0	-17.431196	-40.881649	23.450453	10.677869
2hoj_LIGfilip-balloon_mol0140	mol140	0	-11.744389	-52.284710	40.540321	9.427328
2hoj_LIGfilip-balloon_mol0141	mol141	0	-20.380951	-38.791290	18.410339	5.328801
2hoj_LIGfilip-balloon_mol0142	mol142	0	17.140732	-48.529327	65.670059	10.558122
2hoj_LIGfilip-balloon_mol0143	mol143	0	1.250576	-41.358799	42.609375	10.757146
2hoj_LIGfilip-balloon_mol0144	mol144	0	-47.205017	-41.259518	-5.945498	4.694229
2hoj_LIGfilip-balloon_mol0145	mol145	0	1.309208	-40.654335	41.963543	9.152473
2hoj_LIGfilip-balloon_mol0146	mol146	0	-19.667997	-41.160355	21.492357	3.213970
2hoj_LIGfilip-balloon_mol0147	mol147	0	-16.289978	-38.551746	22.261768	6.297535
2hoj_LIGfilip-balloon_mol0148	mol148	0	-3.483337	-39.796028	36.312691	10.883254
2hoj_LIGfilip-balloon_mol0149	mol149	0	-18.184130	-39.238216	21.054087	5.701362
2hoj_LIGfilip-balloon_mol0150	mol150	0	-16.616455	-36.664165	20.047710	9.539665
2hoj_LIGfilip-balloon_mol0151	mol151	0	-76.213028	-40.254795	-35.958233	8.942690
2hoj_LIGfilip-balloon_mol0152	mol152	0	-17.770628	-37.749069	19.978441	4.923229
2hoj_LIGfilip-balloon_mol0153	mol153	0	2.854675	-32.636765	35.491440	9.744729
2hoj_LIGfilip-balloon_mol0154	mol154	0	-54.143532	-47.162567	-6.980966	11.235532
2hoj_LIGfilip-balloon_mol0155	mol155	0	-32.843380	-50.420162	17.576782	5.851593
2hoj_LIGfilip-balloon_mol0156	mol156	0	-1.243340	-42.749462	41.506123	6.242888
2hoj_LIGfilip-balloon_mol0157	mol157	0	-51.948780	-42.927368	-9.021411	6.214831
2hoj_LIGfilip-balloon_mol0158	mol158	0	-26.391245	-44.634834	18.243589	8.654102
2hoj_LIGfilip-balloon_mol0159	mol159	0	-33.773548	-53.739628	19.966080	8.801381
2hoj_LIGfilip-balloon_mol0160	mol160	0	-23.439291	-42.108532	18.669241	4.438243
2hoj_LIGfilip-balloon_mol0161	mol161	0	-0.797997	-47.487854	46.689857	17.987083
2hoj_LIGfilip-balloon_mol0162	mol162	0	-20.235962	-38.065960	17.829998	4.663458
2hoj_LIGfilip-balloon_mol0163	mol163	0				
2hoj_LIGfilip-balloon_mol0164	mol164	0	-23.886345	-42.848743	18.962399	3.313313
2hoj_LIGfilip-balloon_mol0165	mol165	0	-19.951828	-38.343594	18.391766	10.751787
2hoj_LIGfilip-balloon_mol0166	mol166	0	-22.551920	-44.216763	21.664843	12.557191
2hoj_LIGfilip-balloon_mol0167	mol167	0	-46.273602	-35.952560	-10.321041	6.081057
2hoj_LIGfilip-balloon_mol0168	mol168	0	-0.261276	-43.776257	43.514980	14.526119
2hoj_LIGfilip-balloon_mol0169	mol169	0	-21.702087	-42.106220	20.404133	8.128616
2hoj_LIGfilip-balloon_mol0170	mol170	0	5.003033	-41.362251	46.365284	6.376276
2hoj_LIGfilip-balloon_mol0171	mol171	0	-20.134350	-39.040051	18.905701	6.439511
2hoj_LIGfilip-balloon_mol0172	mol172	0	-0.710117	-44.377766	43.667648	5.060022
2hoj_LIGfilip-balloon_mol0173	mol173	0	-28.450089	-46.919441	18.469353	11.058311
2hoj_LIGfilip-balloon_mol0174	mol174	0	5.919086	-38.907978	44.827065	8.355339
2hoj_LIGfilip-balloon_mol0175	mol175	0	-17.446655	-35.947098	18.500443	4.299387
2hoj_LIGfilip-balloon_mol0176	mol176	0	-29.507919	-49.577709	20.069790	13.194236
2hoj_LIGfilip-balloon_mol0177	mol177	0	-106.058250	-40.209564	-65.848686	6.251698
2hoj_LIGfilip-balloon_mol0178	mol178	0				
2hoj_LIGfilip-balloon_mol0179	mol179	0	-106.109451	-38.518311	-67.591141	9.413423
2hoj_LIGfilip-balloon_mol0180	mol180	0	-20.781261	-40.951382	20.170120	4.445684
2hoj_LIGfilip-balloon_mol0181	mol181	0	-0.282536	-38.315590	38.033054	3.489476
2hoj_LIGfilip-balloon_mol0182	mol182	0	-105.984459	-40.270691	-65.713768	6.580445
2hoj_LIGfilip-balloon_mol0183	mol183	0	-37.995438	-53.195637	15.200200	15.111696
2hoj_LIGfilip-balloon_mol0184	mol184	0	-50.628334	-41.223888	-9.404447	8.044243
2hoj_LIGfilip-balloon_mol0185	mol185	0	-21.865829	-38.536289	16.670460	6.622765
2hoj_LIGfilip-balloon_mol0186	mol186	0	-22.075344	-40.088657	18.013313	6.688879
2hoj_LIGfilip-balloon_mol0187	mol187	0	-77.871597	-44.902775	-32.968822	7.906038
2hoj_LIGfilip-balloon_mol0188	mol188	0				
2hoj_LIGfilip-balloon_mol0189	mol189	0	-24.327452	-42.142090	17.814638	4.653998
2hoj_LIGfilip-balloon_mol0190	mol190	0	-0.923939	-40.435291	39.511353	5.476536
2hoj_LIGfilip-balloon_mol0191	mol191	0	-27.990231	-49.001179	21.010948	15.425138
2hoj_LIGfilip-balloon_mol0192	mol192	0	-18.908510	-41.046265	22.137754	4.323489
2hoj_LIGfilip-balloon_mol0193	mol193	0	3.476089	-38.216785	41.692875	3.661284
2hoj_LIGfilip-balloon_mol0194	mol194	0	-15.671993	-35.041725	19.369732	7.360352
2hoj_LIGfilip-balloon_mol0195	mol195	0	-75.716454	-34.368172	-41.348282	6.659994
2hoj_LIGfilip-balloon_mol0196	mol196	0	-80.536728	-38.894005	-41.642723	13.905024
2hoj_LIGfilip-balloon_mol0197	mol197	0	-48.110222	-36.685123	-11.425097	5.969764
2hoj_LIGfilip-balloon_mol0198	mol198	0	-52.187557	-47.405098	-4.782460	14.634788
2hoj_LIGfilip-balloon_mol0199	mol199	0	-7.827953	-43.033939	35.205986	12.057832
2hoj_LIGfilip-balloon_mol0200	mol200	0	-25.157169	-43.851204	18.694035	6.607634
2hoj_LIGfilip-balloon_mol0201	mol201	0	-24.533718	-38.740459	14.206740	7.870356
2hoj_LIGfilip-balloon_mol0202	mol202	0	6.530842	-36.816910	43.347752	12.909279
2hoj_LIGfilip-balloon_mol0203	mol203	0	-17.371685	-37.650867	20.279182	13.530274
2hoj_LIGfilip-balloon_mol0204	mol204	0	24.361404	-17.500370	41.861774	8.465314
2hoj_LIGfilip-balloon_mol0205	mol205	0	-81.210510	-45.744987	-35.465519	3.368087
2hoj_LIGfilip-balloon_mol0206	mol206	0	4.047558	-46.503498	50.551056	3.017277
2hoj_LIGfilip-balloon_mol0207	mol207	0	-21.789507	-41.238224	19.448717	9.418526
2hoj_LIGfilip-balloon_mol0208	mol208	0	-74.791512	-33.603271	-41.188240	9.062001
2hoj_LIGfilip-balloon_mol0209	mol209	0	-80.068054	-45.439888	-34.628166	5.145603
2hoj_LIGfilip-balloon_mol0210	mol210	0	-55.750343	-45.481838	-10.268507	6.464072
2hoj_LIGfilip-balloon_mol0211	mol211	0	-0.780373	-41.018402	40.238029	12.999333
2hoj_LIGfilip-balloon_mol0212	mol212	0	-9.589184	-48.389851	38.800667	14.575573
2hoj_LIGfilip-balloon_mol0213	mol213	0	-45.021416	-35.319424	-9.701993	6.282249
2hoj_LIGfilip-balloon_mol0214	mol214	0	-32.839577	-50.477531	17.637955	8.402448
2hoj_LIGfilip-balloon_mol0215	mol215	0	3.132248	-42.257183	45.389431	6.347754
2hoj_LIGfilip-balloon_mol0216	mol216	0	-22.896631	-42.845482	19.948851	8.472260
2hoj_LIGfilip-balloon_mol0217	mol217	0	-107.242279	-36.474430	-70.767853	5.536164
2hoj_LIGfilip-balloon_mol0218	mol218	0	2.481667	-43.243221	45.724888	7.262732
2hoj_LIGfilip-balloon_mol0219	mol219	0	-17.635277	-37.642170	20.006893	1.669593
2hoj_LIGfilip-balloon_mol0220	mol220	0	-5.698910	-40.850967	35.152058	6.077671
2hoj_LIGfilip-balloon_mol0221	mol221	0	-28.142975	-45.109703	16.966728	11.307693
2hoj_LIGfilip-balloon_mol0222	mol222	0	-26.597584	-46.534309	19.936726	12.139175
2hoj_LIGfilip-balloon_mol0223	mol223	0	-17.909857	-35.256069	17.346212	7.145875
2hoj_LIGfilip-balloon_mol0224	mol224	0	-27.643475	-44.634151	16.990677	5.138896
2hoj_LIGfilip-balloon_mol0225	mol225	0	-30.143633	-49.570076	19.426443	1.957027
2hoj_LIGfilip-balloon_mol0226	mol226	0	-24.990974	-42.262997	17.272022	10.678061
2hoj_LIGfilip-balloon_mol0227	mol227	0	-2.140739	-43.321812	41.181072	3.703758
2hoj_LIGfilip-balloon_mol0228	mol228	0	-76.574387	-39.833702	-36.740681	3.367413
2hoj_LIGfilip-balloon_mol0229	mol229	0	-27.924545	-48.393017	20.468472	6.650802
2hoj_LIGfilip-balloon_mol0230	mol230	0	-21.929386	-37.889526	15.960141	9.209904
2hoj_LIGfilip-balloon_mol0231	mol231	0	3.788399	-31.544090	35.332489	9.598031
2hoj_LIGfilip-balloon_mol0232	mol232	0	-57.951527	-49.692348	-8.259179	16.071321
2hoj_LIGfilip-balloon_mol0233	mol233	0	-26.272835	-46.107731	19.834896	7.785100
2hoj_LIGfilip-balloon_mol0234	mol234	0	-19.863188	-37.142387	17.279200	9.787752
2hoj_LIGfilip-balloon_mol0235	mol235	0	-20.448048	-38.025452	17.577404	7.273757
2hoj_LIGfilip-balloon_mol0236	mol236	0	-13.763788	-33.389854	19.626066	7.713496
2hoj_LIGfilip-balloon_mol0237	mol237	0	-15.847208	-39.923492	24.076284	1.480740
2hoj_LIGfilip-balloon_mol0238	mol238	0	-16.885912	-37.389992	20.504080	3.398303
2hoj_LIGfilip-balloon_mol0239	mol239	0	-27.283449	-51.016460	23.733011	12.901644
2hoj_LIGfilip-balloon_mol0240	mol240	0	-33.807945	-54.125832	20.317888	13.097919
2hoj_LIGfilip-balloon_mol0241	mol241	0	-15.301434	-38.139175	22.837742	7.991909
2hoj_LIGfilip-balloon_mol0242	mol242	0	-69.955025	-37.838882	-32.116142	8.781444
2hoj_LIGfilip-balloon_mol0243	mol243	0	3.675785	-40.386379	44.062164	5.432664
2hoj_LIGfilip-balloon_mol0244	mol244	0	-1.442211	-47.714653	46.272442	9.016382
2hoj_LIGfilip-balloon_mol0245	mol245	0	-6.720882	-47.579178	40.858295	14.986229
2hoj_LIGfilip-balloon_mol0246	mol246	0	-17.401346	-36.701904	19.300558	6.053683
2hoj_LIGfilip-balloon_mol0247	mol247	0	-47.612381	-30.706219	-16.906162	13.583941
2hoj_LIGfilip-balloon_mol0248	mol248	0	-104.763359	-39.124397	-65.638962	5.480995
2hoj_LIGfilip-balloon_mol0249	mol249	0	-19.310772	-40.891945	21.581173	4.895837
2hoj_LIGfilip-balloon_mol0250	mol250	0	-45.108051	-33.433357	-11.674694	19.346466
2hoj_LIGfilip-balloon_mol0251	mol251	0	-20.920561	-40.708828	19.788267	5.347311
2hoj_LIGfilip-balloon_mol0252	mol252	0	-22.426430	-46.039318	23.612888	8.023543
2hoj_LIGfilip-balloon_mol0253	mol253	0	6.009449	-34.025711	40.035160	5.825785
2hoj_LIGfilip-balloon_mol0254	mol254	0	-8.146244	-37.807629	29.661385	7.050172
2hoj_LIGfilip-balloon_mol0255	mol255	0	-68.918098	-29.392933	-39.525166	8.972047
2hoj_LIGfilip-balloon_mol0256	mol256	0	-49.449776	-38.114086	-11.335688	10.177804
2hoj_LIGfilip-balloon_mol0257	mol257	0	18.650896	-1.575949	20.226845	20.993866
2hoj_LIGfilip-balloon_mol0258	mol258	0	-30.063124	-47.458286	17.395163	13.614993
2hoj_LIGfilip-balloon_mol0259	mol259	0	-2.066189	-48.099476	46.033287	11.053613
2hoj_LIGfilip-balloon_mol0260	mol260	0	-78.491341	-31.127031	-47.364307	5.990513
2hoj_LIGfilip-balloon_mol0261	mol261	0	-40.275440	-37.691082	-2.584357	6.571749
2hoj_LIGfilip-balloon_mol0262	mol262	0	-71.714699	-37.021557	-34.693142	5.751014
2hoj_LIGfilip-balloon_mol0263	mol263	0	-17.860439	-32.973034	15.112595	6.221561
2hoj_LIGfilip-balloon_mol0264	mol264	0	-81.077347	-39.992298	-41.085052	6.017515
2hoj_LIGfilip-balloon_mol0265	mol265	0	-23.935041	-41.682442	17.747400	6.867066
2hoj_LIGfilip-balloon_mol0266	mol266	0	-16.893082	-35.316448	18.423367	6.937415
2hoj_LIGfilip-balloon_mol0267	mol267	0	-33.440895	-48.272976	14.832082	5.881965
2hoj_LIGfilip-balloon_mol0268	mol268	0	-31.352188	-50.882771	19.530582	14.769004
2hoj_LIGfilip-balloon_mol0269	mol269	0	1.365326	-39.082241	40.447567	6.242576
2hoj_LIGfilip-balloon_mol0270	mol270	0	-43.558392	-40.880459	-2.677931	5.400880
2hoj_LIGfilip-balloon_mol0271	mol271	0	-47.814133	-46.431477	-1.382655	4.525678
2hoj_LIGfilip-balloon_mol0272	mol272	0	-7.168941	-49.681164	42.512222	6.722806
2hoj_LIGfilip-balloon_mol0273	mol273	0	-105.231117	-35.770309	-69.460808	6.480309
2hoj_LIGfilip-balloon_mol0274	mol274	0	-80.363495	-40.652607	-39.710884	4.556088
2hoj_LIGfilip-balloon_mol0275	mol275	0	-74.475441	-36.005280	-38.470161	12.239395
2hoj_LIGfilip-balloon_mol0276	mol276	0	3.907825	-34.906113	38.813938	2.847212
2hoj_LIGfilip-balloon_mol0277	mol277	0	-20.354366	-38.023869	17.669502	5.356959
2hoj_LIGfilip-balloon_mol0278	mol278	0	-22.914310	-40.691498	17.777187	3.536256
2hoj_LIGfilip-balloon_mol0279	mol279	0	-14.600109	-38.631622	24.031513	4.725499
2hoj_LIGfilip-balloon_mol0280	mol280	0	-22.442879	-50.293350	27.850471	10.721590
2hoj_LIGfilip-balloon_mol0281	mol281	0	-108.151855	-40.575699	-67.576157	6.778604
2hoj_LIGfilip-balloon_mol0282	mol282	0	-54.404118	-48.514381	-5.889737	21.065460
2hoj_LIGfilip-balloon_mol0283	mol283	0	-8.149618	-36.089588	27.939970	11.165483
2hoj_LIGfilip-balloon_mol0284	mol284	0	-47.646854	-46.157955	-1.488900	5.492378
2hoj_LIGfilip-balloon_mol0285	mol285	0	-10.834599	-55.609909	44.775311	9.042215
