Grid_Sco00re			Grid_Score	Grid_vdw	Grid_es	Int_energy
2hoj_LIGfilip-balloon_mol0053	mol53	0	-67.334290	-37.076847	-30.257444	-30.257444
2hoj_LIGfilip-balloon_mol0054	mol54	0	-13.632933	-36.839321	23.206388	23.206388
2hoj_LIGfilip-balloon_mol0055	mol55	0	-15.163086	-31.439100	16.276014	16.276014
2hoj_LIGfilip-balloon_mol0056	mol56	0	-23.521832	-35.827759	12.305926	12.305926
2hoj_LIGfilip-balloon_mol0057	mol57	0	-20.228889	-44.350113	24.121223	24.121223
2hoj_LIGfilip-balloon_mol0058	mol58	0	-16.293856	-34.127670	17.833815	17.833815
2hoj_LIGfilip-balloon_mol0059	mol59	0	-16.766897	-33.439583	16.672686	16.672686
2hoj_LIGfilip-balloon_mol0060	mol60	0	5.466473	-41.492508	46.958981	46.958981
2hoj_LIGfilip-balloon_mol0061	mol61	0	11.562489	-37.763870	49.326359	49.326359
2hoj_LIGfilip-balloon_mol0062	mol62	0	-20.436441	-31.898699	11.462257	11.462257
2hoj_LIGfilip-balloon_mol0063	mol63	0	8.120132	-43.340317	51.460449	51.460449
2hoj_LIGfilip-balloon_mol0064	mol64	0	-24.403099	-43.552761	19.149662	19.149662
2hoj_LIGfilip-balloon_mol0065	mol65	0	-12.903343	-34.097385	21.194042	21.194042
2hoj_LIGfilip-balloon_mol0066	mol66	0	-1.040363	-39.012196	37.971832	37.971832
2hoj_LIGfilip-balloon_mol0067	mol67	0	-17.158371	-37.782745	20.624374	20.624374
2hoj_LIGfilip-balloon_mol0068	mol68	0	-23.605669	-39.279514	15.673845	15.673845
2hoj_LIGfilip-balloon_mol0069	mol69	0	-21.304335	-39.392399	18.088064	18.088064
2hoj_LIGfilip-balloon_mol0070	mol70	0	-44.937458	-41.042110	-3.895348	-3.895348
2hoj_LIGfilip-balloon_mol0071	mol71	0	-40.597237	-40.471455	-0.125781	-0.125781
2hoj_LIGfilip-balloon_mol0072	mol72	0	-13.420168	-35.824696	22.404528	22.404528
2hoj_LIGfilip-balloon_mol0073	mol73	0				
2hoj_LIGfilip-balloon_mol0074	mol74	0	-47.080002	-42.419556	-4.660445	-4.660445
2hoj_LIGfilip-balloon_mol0075	mol75	0	-74.062950	-39.586205	-34.476746	-34.476746
2hoj_LIGfilip-balloon_mol0076	mol76	0	-22.356606	-39.065044	16.708439	16.708439
2hoj_LIGfilip-balloon_mol0077	mol77	0	-13.756779	-33.707409	19.950630	19.950630
2hoj_LIGfilip-balloon_mol0078	mol78	0	-14.276846	-29.039143	14.762297	14.762297
2hoj_LIGfilip-balloon_mol0079	mol79	0	-18.979757	-31.760420	12.780663	12.780663
2hoj_LIGfilip-balloon_mol0080	mol80	0	4.506027	-36.651997	41.158024	41.158024
2hoj_LIGfilip-balloon_mol0081	mol81	0	-20.347994	-42.846745	22.498751	22.498751
2hoj_LIGfilip-balloon_mol0082	mol82	0	7.599251	-39.128853	46.728104	46.728104
2hoj_LIGfilip-balloon_mol0083	mol83	0	-23.288078	-50.342056	27.053978	27.053978
2hoj_LIGfilip-balloon_mol0084	mol84	0	-44.051010	-43.501488	-0.549524	-0.549524
2hoj_LIGfilip-balloon_mol0085	mol85	0	2.684765	-40.971073	43.655838	43.655838
2hoj_LIGfilip-balloon_mol0086	mol86	0	-16.820873	-39.466866	22.645992	22.645992
2hoj_LIGfilip-balloon_mol0087	mol87	0	7.995155	-37.627407	45.622562	45.622562
2hoj_LIGfilip-balloon_mol0088	mol88	0	-15.614574	-38.516834	22.902260	22.902260
2hoj_LIGfilip-balloon_mol0089	mol89	0	-19.629511	-42.165871	22.536360	22.536360
2hoj_LIGfilip-balloon_mol0090	mol90	0	-11.038050	-40.841881	29.803831	29.803831
2hoj_LIGfilip-balloon_mol0091	mol91	0	-21.277622	-31.104635	9.827014	9.827014
2hoj_LIGfilip-balloon_mol0092	mol92	0	-12.468599	-32.673149	20.204550	20.204550
2hoj_LIGfilip-balloon_mol0093	mol93	0	-14.776264	-37.119473	22.343208	22.343208
2hoj_LIGfilip-balloon_mol0094	mol94	0	-16.147608	-35.865227	19.717619	19.717619
2hoj_LIGfilip-balloon_mol0095	mol95	0	-2.954918	-49.386600	46.431683	46.431683
2hoj_LIGfilip-balloon_mol0096	mol96	0	-17.196205	-42.907742	25.711536	25.711536
2hoj_LIGfilip-balloon_mol0097	mol97	0	-16.716953	-38.568024	21.851070	21.851070
2hoj_LIGfilip-balloon_mol0098	mol98	0	-0.463039	-45.046654	44.583614	44.583614
2hoj_LIGfilip-balloon_mol0099	mol99	0	2.501507	-35.791317	38.292824	38.292824
2hoj_LIGfilip-balloon_mol0100	mol100	0	-22.862106	-41.275242	18.413136	18.413136
2hoj_LIGfilip-balloon_mol0101	mol101	0	-23.704397	-38.863041	15.158644	15.158644
2hoj_LIGfilip-balloon_mol0102	mol102	0	-23.769913	-43.413418	19.643505	19.643505
2hoj_LIGfilip-balloon_mol0103	mol103	0	10.442982	-34.588398	45.031380	45.031380
2hoj_LIGfilip-balloon_mol0104	mol104	0	-44.424450	-43.670006	-0.754443	-0.754443
2hoj_LIGfilip-balloon_mol0105	mol105	0	-50.408340	-43.668991	-6.739349	-6.739349
2hoj_LIGfilip-balloon_mol0106	mol106	0	-19.366571	-37.154938	17.788366	17.788366
2hoj_LIGfilip-balloon_mol0107	mol107	0	-43.077209	-32.583797	-10.493411	-10.493411
2hoj_LIGfilip-balloon_mol0108	mol108	0	0.574406	-44.761776	45.336182	45.336182
2hoj_LIGfilip-balloon_mol0109	mol109	0	-41.307617	-30.383402	-10.924217	-10.924217
2hoj_LIGfilip-balloon_mol0110	mol110	0	-14.640705	-36.384495	21.743790	21.743790
2hoj_LIGfilip-balloon_mol0111	mol111	0	10.845516	-31.542904	42.388420	42.388420
2hoj_LIGfilip-balloon_mol0112	mol112	0	9.100292	-39.144016	48.244308	48.244308
2hoj_LIGfilip-balloon_mol0113	mol113	0	-44.238350	-44.212643	-0.025705	-0.025705
2hoj_LIGfilip-balloon_mol0114	mol114	0	-18.564112	-38.736645	20.172533	20.172533
2hoj_LIGfilip-balloon_mol0115	mol115	0	-40.182194	-32.974785	-7.207407	-7.207407
2hoj_LIGfilip-balloon_mol0116	mol116	0	-71.240700	-36.461525	-34.779175	-34.779175
2hoj_LIGfilip-balloon_mol0117	mol117	0	-16.643890	-37.165756	20.521866	20.521866
2hoj_LIGfilip-balloon_mol0118	mol118	0	-77.255936	-37.510300	-39.745636	-39.745636
2hoj_LIGfilip-balloon_mol0119	mol119	0	-13.703144	-33.581692	19.878548	19.878548
2hoj_LIGfilip-balloon_mol0120	mol120	0	5.150360	-37.816853	42.967213	42.967213
2hoj_LIGfilip-balloon_mol0121	mol121	0	-46.935497	-36.287415	-10.648084	-10.648084
2hoj_LIGfilip-balloon_mol0122	mol122	0	5.152466	-46.650024	51.802490	51.802490
2hoj_LIGfilip-balloon_mol0123	mol123	0	7.130413	-30.539780	37.670193	37.670193
2hoj_LIGfilip-balloon_mol0124	mol124	0	-15.650270	-38.112431	22.462160	22.462160
2hoj_LIGfilip-balloon_mol0125	mol125	0	-41.870270	-30.366602	-11.503670	-11.503670
2hoj_LIGfilip-balloon_mol0126	mol126	0	0.261372	-41.930031	42.191402	42.191402
2hoj_LIGfilip-balloon_mol0127	mol127	0	-23.627781	-44.321934	20.694153	20.694153
2hoj_LIGfilip-balloon_mol0128	mol128	0	-16.764458	-36.983929	20.219471	20.219471
2hoj_LIGfilip-balloon_mol0129	mol129	0	5.470346	-27.387575	32.857922	32.857922
2hoj_LIGfilip-balloon_mol0130	mol130	0	-14.401291	-33.822357	19.421066	19.421066
2hoj_LIGfilip-balloon_mol0131	mol131	0	1.365746	-44.121941	45.487686	45.487686
2hoj_LIGfilip-balloon_mol0132	mol132	0	9.907778	-27.130579	37.038357	37.038357
2hoj_LIGfilip-balloon_mol0133	mol133	0	2.193497	-40.430435	42.623932	42.623932
2hoj_LIGfilip-balloon_mol0134	mol134	0	-3.556183	-43.380974	39.824791	39.824791
2hoj_LIGfilip-balloon_mol0135	mol135	0	8.416557	-41.659054	50.075611	50.075611
2hoj_LIGfilip-balloon_mol0136	mol136	0	-41.968891	-30.125788	-11.843103	-11.843103
2hoj_LIGfilip-balloon_mol0137	mol137	0	-43.953224	-31.744436	-12.208788	-12.208788
2hoj_LIGfilip-balloon_mol0138	mol138	0	1.653126	-43.795818	45.448944	45.448944
2hoj_LIGfilip-balloon_mol0139	mol139	0	-13.824039	-36.409592	22.585552	22.585552
2hoj_LIGfilip-balloon_mol0140	mol140	0	-0.792698	-41.182178	40.389481	40.389481
2hoj_LIGfilip-balloon_mol0141	mol141	0	-17.659534	-37.854591	20.195057	20.195057
2hoj_LIGfilip-balloon_mol0142	mol142	0	26.229126	-35.753254	61.982380	61.982380
2hoj_LIGfilip-balloon_mol0143	mol143	0	8.734577	-37.409008	46.143585	46.143585
2hoj_LIGfilip-balloon_mol0144	mol144	0	-42.943512	-33.362785	-9.580727	-9.580727
2hoj_LIGfilip-balloon_mol0145	mol145	0	9.001099	-28.636406	37.637505	37.637505
2hoj_LIGfilip-balloon_mol0146	mol146	0	-12.945436	-32.388645	19.443209	19.443209
2hoj_LIGfilip-balloon_mol0147	mol147	0	-12.173002	-35.269772	23.096769	23.096769
2hoj_LIGfilip-balloon_mol0148	mol148	0	-0.685415	-32.296131	31.610716	31.610716
2hoj_LIGfilip-balloon_mol0149	mol149	0	-15.062382	-36.521072	21.458691	21.458691
2hoj_LIGfilip-balloon_mol0150	mol150	0	-14.491062	-33.881233	19.390171	19.390171
2hoj_LIGfilip-balloon_mol0151	mol151	0	-69.172096	-34.061867	-35.110229	-35.110229
2hoj_LIGfilip-balloon_mol0152	mol152	0	-14.520098	-37.720566	23.200468	23.200468
2hoj_LIGfilip-balloon_mol0153	mol153	0	7.251808	-39.146633	46.398441	46.398441
2hoj_LIGfilip-balloon_mol0154	mol154	0	-49.170891	-47.445839	-1.725052	-1.725052
2hoj_LIGfilip-balloon_mol0155	mol155	0	-20.596832	-39.854794	19.257961	19.257961
2hoj_LIGfilip-balloon_mol0156	mol156	0	1.412354	-41.560730	42.973083	42.973083
2hoj_LIGfilip-balloon_mol0157	mol157	0	-46.890114	-37.436501	-9.453611	-9.453611
2hoj_LIGfilip-balloon_mol0158	mol158	0	-19.342897	-39.218239	19.875341	19.875341
2hoj_LIGfilip-balloon_mol0159	mol159	0	-23.518440	-43.639755	20.121315	20.121315
2hoj_LIGfilip-balloon_mol0160	mol160	0	-13.927797	-32.421764	18.493967	18.493967
2hoj_LIGfilip-balloon_mol0161	mol161	0	2.374706	-36.481796	38.856503	38.856503
2hoj_LIGfilip-balloon_mol0162	mol162	0	-16.286669	-38.738968	22.452299	22.452299
2hoj_LIGfilip-balloon_mol0163	mol163	0	30.668215	-0.557511	31.225725	31.225725
2hoj_LIGfilip-balloon_mol0164	mol164	0	-18.427471	-38.195927	19.768456	19.768456
2hoj_LIGfilip-balloon_mol0165	mol165	0	-17.304144	-36.459351	19.155207	19.155207
2hoj_LIGfilip-balloon_mol0166	mol166	0	-15.662888	-40.441238	24.778351	24.778351
2hoj_LIGfilip-balloon_mol0167	mol167	0	-41.453590	-29.650801	-11.802792	-11.802792
2hoj_LIGfilip-balloon_mol0168	mol168	0	7.263855	-37.943390	45.207245	45.207245
2hoj_LIGfilip-balloon_mol0169	mol169	0	-20.433426	-40.710426	20.277000	20.277000
2hoj_LIGfilip-balloon_mol0170	mol170	0	9.711689	-39.180473	48.892162	48.892162
2hoj_LIGfilip-balloon_mol0171	mol171	0	-15.733488	-38.671894	22.938406	22.938406
2hoj_LIGfilip-balloon_mol0172	mol172	0	5.443485	-38.564857	44.008343	44.008343
2hoj_LIGfilip-balloon_mol0173	mol173	0	-22.023558	-43.767872	21.744314	21.744314
2hoj_LIGfilip-balloon_mol0174	mol174	0	12.076332	-37.910904	49.987236	49.987236
2hoj_LIGfilip-balloon_mol0175	mol175	0	-13.591017	-33.827061	20.236044	20.236044
2hoj_LIGfilip-balloon_mol0176	mol176	0	-22.557453	-46.718517	24.161064	24.161064
2hoj_LIGfilip-balloon_mol0177	mol177	0	-101.377563	-35.932076	-65.445488	-65.445488
2hoj_LIGfilip-balloon_mol0178	mol178	0	29.579910	-34.591942	64.171852	64.171852
2hoj_LIGfilip-balloon_mol0179	mol179	0	-97.642387	-32.922424	-64.719963	-64.719963
2hoj_LIGfilip-balloon_mol0180	mol180	0	-11.718390	-32.368069	20.649679	20.649679
2hoj_LIGfilip-balloon_mol0181	mol181	0	7.637707	-35.204124	42.841831	42.841831
2hoj_LIGfilip-balloon_mol0182	mol182	0	-99.209473	-35.487720	-63.721756	-63.721756
2hoj_LIGfilip-balloon_mol0183	mol183	0	-26.951218	-46.575253	19.624035	19.624035
2hoj_LIGfilip-balloon_mol0184	mol184	0	-48.276718	-39.051308	-9.225412	-9.225412
2hoj_LIGfilip-balloon_mol0185	mol185	0	-13.432840	-37.749832	24.316992	24.316992
2hoj_LIGfilip-balloon_mol0186	mol186	0	-15.442543	-35.747562	20.305019	20.305019
2hoj_LIGfilip-balloon_mol0187	mol187	0	-76.238457	-40.781910	-35.456547	-35.456547
2hoj_LIGfilip-balloon_mol0188	mol188	0	46.991974	-0.741734	47.733707	47.733707
2hoj_LIGfilip-balloon_mol0189	mol189	0	-14.782078	-39.465710	24.683632	24.683632
2hoj_LIGfilip-balloon_mol0190	mol190	0	7.590801	-36.414772	44.005573	44.005573
2hoj_LIGfilip-balloon_mol0191	mol191	0	-24.552269	-48.374191	23.821922	23.821922
2hoj_LIGfilip-balloon_mol0192	mol192	0	-13.654984	-34.936291	21.281307	21.281307
2hoj_LIGfilip-balloon_mol0193	mol193	0	10.370653	-25.462431	35.833084	35.833084
2hoj_LIGfilip-balloon_mol0194	mol194	0	-10.668247	-35.290684	24.622437	24.622437
2hoj_LIGfilip-balloon_mol0195	mol195	0	-69.953224	-32.916454	-37.036770	-37.036770
2hoj_LIGfilip-balloon_mol0196	mol196	0	-72.623192	-30.279676	-42.343517	-42.343517
2hoj_LIGfilip-balloon_mol0197	mol197	0	-45.109890	-29.502670	-15.607220	-15.607220
2hoj_LIGfilip-balloon_mol0198	mol198	0	-49.731560	-44.301594	-5.429966	-5.429966
2hoj_LIGfilip-balloon_mol0199	mol199	0	2.837887	-20.175365	23.013252	23.013252
2hoj_LIGfilip-balloon_mol0200	mol200	0	-15.898991	-35.923737	20.024746	20.024746
2hoj_LIGfilip-balloon_mol0201	mol201	0	-19.615557	-33.706131	14.090574	14.090574
2hoj_LIGfilip-balloon_mol0202	mol202	0	11.220478	-35.201881	46.422359	46.422359
2hoj_LIGfilip-balloon_mol0203	mol203	0	-11.776075	-32.601814	20.825739	20.825739
2hoj_LIGfilip-balloon_mol0204	mol204	0	32.605171	-28.725126	61.330296	61.330296
2hoj_LIGfilip-balloon_mol0205	mol205	0	-75.015022	-41.553486	-33.461536	-33.461536
2hoj_LIGfilip-balloon_mol0206	mol206	0	5.718449	-38.672398	44.390846	44.390846
2hoj_LIGfilip-balloon_mol0207	mol207	0	-13.505558	-37.089882	23.584324	23.584324
2hoj_LIGfilip-balloon_mol0208	mol208	0	-73.118362	-31.186623	-41.931736	-41.931736
2hoj_LIGfilip-balloon_mol0209	mol209	0	-74.570984	-39.516010	-35.054970	-35.054970
2hoj_LIGfilip-balloon_mol0210	mol210	0	-49.936668	-48.900032	-1.036638	-1.036638
2hoj_LIGfilip-balloon_mol0211	mol211	0	5.253960	-35.191803	40.445763	40.445763
2hoj_LIGfilip-balloon_mol0212	mol212	0	4.888416	-43.754242	48.642658	48.642658
2hoj_LIGfilip-balloon_mol0213	mol213	0	-43.265926	-34.422943	-8.842983	-8.842983
2hoj_LIGfilip-balloon_mol0214	mol214	0	-21.334175	-44.328838	22.994663	22.994663
2hoj_LIGfilip-balloon_mol0215	mol215	0	5.309265	-41.982750	47.292015	47.292015
2hoj_LIGfilip-balloon_mol0216	mol216	0	-17.156549	-35.640232	18.483683	18.483683
2hoj_LIGfilip-balloon_mol0217	mol217	0	-102.498070	-33.016983	-69.481087	-69.481087
2hoj_LIGfilip-balloon_mol0218	mol218	0	4.744694	-38.599445	43.344139	43.344139
2hoj_LIGfilip-balloon_mol0219	mol219	0	-14.480598	-32.883415	18.402817	18.402817
2hoj_LIGfilip-balloon_mol0220	mol220	0	5.384899	-33.099972	38.484871	38.484871
2hoj_LIGfilip-balloon_mol0221	mol221	0	-21.887341	-40.457275	18.569935	18.569935
2hoj_LIGfilip-balloon_mol0222	mol222	0	-21.419226	-43.092392	21.673166	21.673166
2hoj_LIGfilip-balloon_mol0223	mol223	0	-17.109341	-41.415211	24.305870	24.305870
2hoj_LIGfilip-balloon_mol0224	mol224	0	-15.029921	-40.517277	25.487356	25.487356
2hoj_LIGfilip-balloon_mol0225	mol225	0	-24.503408	-38.183250	13.679842	13.679842
2hoj_LIGfilip-balloon_mol0226	mol226	0	-15.677700	-34.693607	19.015907	19.015907
2hoj_LIGfilip-balloon_mol0227	mol227	0	3.388309	-38.274979	41.663288	41.663288
2hoj_LIGfilip-balloon_mol0228	mol228	0	-69.332855	-33.327381	-36.005470	-36.005470
2hoj_LIGfilip-balloon_mol0229	mol229	0	-21.078035	-38.682270	17.604235	17.604235
2hoj_LIGfilip-balloon_mol0230	mol230	0	-21.517830	-42.553551	21.035721	21.035721
2hoj_LIGfilip-balloon_mol0231	mol231	0	11.420658	-19.954060	31.374718	31.374718
2hoj_LIGfilip-balloon_mol0232	mol232	0	-51.333443	-42.747200	-8.586241	-8.586241
2hoj_LIGfilip-balloon_mol0233	mol233	0	-16.685131	-37.891357	21.206226	21.206226
2hoj_LIGfilip-balloon_mol0234	mol234	0	-16.665062	-37.990761	21.325699	21.325699
2hoj_LIGfilip-balloon_mol0235	mol235	0	-14.675079	-37.184296	22.509216	22.509216
2hoj_LIGfilip-balloon_mol0236	mol236	0	-12.016130	-38.302418	26.286287	26.286287
2hoj_LIGfilip-balloon_mol0237	mol237	0	-12.255327	-29.896605	17.641277	17.641277
2hoj_LIGfilip-balloon_mol0238	mol238	0	-15.360493	-33.071407	17.710915	17.710915
2hoj_LIGfilip-balloon_mol0239	mol239	0	-16.332571	-37.316475	20.983904	20.983904
2hoj_LIGfilip-balloon_mol0240	mol240	0	-23.071226	-45.515827	22.444601	22.444601
2hoj_LIGfilip-balloon_mol0241	mol241	0	-13.320143	-35.541935	22.221792	22.221792
2hoj_LIGfilip-balloon_mol0242	mol242	0	-66.881790	-36.487381	-30.394413	-30.394413
2hoj_LIGfilip-balloon_mol0243	mol243	0	8.160004	-25.790634	33.950638	33.950638
2hoj_LIGfilip-balloon_mol0244	mol244	0	-1.733715	-49.207207	47.473492	47.473492
2hoj_LIGfilip-balloon_mol0245	mol245	0	5.147243	-40.937874	46.085117	46.085117
2hoj_LIGfilip-balloon_mol0246	mol246	0	-13.082157	-35.043858	21.961700	21.961700
2hoj_LIGfilip-balloon_mol0247	mol247	0	-44.105526	-25.996046	-18.109480	-18.109480
2hoj_LIGfilip-balloon_mol0248	mol248	0	-97.283890	-36.492352	-60.791542	-60.791542
2hoj_LIGfilip-balloon_mol0249	mol249	0	-13.714171	-29.499113	15.784942	15.784942
2hoj_LIGfilip-balloon_mol0250	mol250	0	-45.710876	-41.145477	-4.565397	-4.565397
2hoj_LIGfilip-balloon_mol0251	mol251	0	-16.284830	-36.798580	20.513750	20.513750
2hoj_LIGfilip-balloon_mol0252	mol252	0	-18.999062	-41.356060	22.356998	22.356998
2hoj_LIGfilip-balloon_mol0253	mol253	0	10.052315	-34.953983	45.006298	45.006298
2hoj_LIGfilip-balloon_mol0254	mol254	0	-1.871914	-35.859112	33.987198	33.987198
2hoj_LIGfilip-balloon_mol0255	mol255	0	-66.954391	-30.958836	-35.995560	-35.995560
2hoj_LIGfilip-balloon_mol0256	mol256	0	-40.863300	-33.737488	-7.125813	-7.125813
2hoj_LIGfilip-balloon_mol0257	mol257	0	9.651142	-21.990540	31.641682	31.641682
2hoj_LIGfilip-balloon_mol0258	mol258	0	-24.486864	-42.149853	17.662989	17.662989
2hoj_LIGfilip-balloon_mol0259	mol259	0	6.146305	-25.335690	31.481995	31.481995
2hoj_LIGfilip-balloon_mol0260	mol260	0	-71.367599	-36.477802	-34.889801	-34.889801
2hoj_LIGfilip-balloon_mol0261	mol261	0	-37.234058	-35.428169	-1.805887	-1.805887
2hoj_LIGfilip-balloon_mol0262	mol262	0	-70.844788	-36.473713	-34.371078	-34.371078
2hoj_LIGfilip-balloon_mol0263	mol263	0	-14.522997	-36.518063	21.995066	21.995066
2hoj_LIGfilip-balloon_mol0264	mol264	0	-72.835098	-36.528481	-36.306614	-36.306614
2hoj_LIGfilip-balloon_mol0265	mol265	0	-19.556086	-45.152245	25.596159	25.596159
2hoj_LIGfilip-balloon_mol0266	mol266	0	-13.048588	-33.297016	20.248428	20.248428
2hoj_LIGfilip-balloon_mol0267	mol267	0	-21.666878	-41.700905	20.034027	20.034027
2hoj_LIGfilip-balloon_mol0268	mol268	0	-25.532652	-47.716232	22.183580	22.183580
2hoj_LIGfilip-balloon_mol0269	mol269	0	10.948431	-27.695986	38.644417	38.644417
2hoj_LIGfilip-balloon_mol0270	mol270	0	-38.482872	-39.152977	0.670106	0.670106
2hoj_LIGfilip-balloon_mol0271	mol271	0	-45.214325	-42.919449	-2.294876	-2.294876
2hoj_LIGfilip-balloon_mol0272	mol272	0	1.094910	-41.286243	42.381153	42.381153
2hoj_LIGfilip-balloon_mol0273	mol273	0	-97.415230	-33.261818	-64.153412	-64.153412
2hoj_LIGfilip-balloon_mol0274	mol274	0	-75.328247	-36.653057	-38.675190	-38.675190
2hoj_LIGfilip-balloon_mol0275	mol275	0	-67.407944	-30.100113	-37.307831	-37.307831
2hoj_LIGfilip-balloon_mol0276	mol276	0	11.482052	-34.113018	45.595070	45.595070
2hoj_LIGfilip-balloon_mol0277	mol277	0	-14.855995	-38.086937	23.230942	23.230942
2hoj_LIGfilip-balloon_mol0278	mol278	0	-16.782761	-39.603436	22.820675	22.820675
2hoj_LIGfilip-balloon_mol0279	mol279	0	-10.164457	-35.040474	24.876017	24.876017
2hoj_LIGfilip-balloon_mol0280	mol280	0	-16.043732	-40.232288	24.188557	24.188557
2hoj_LIGfilip-balloon_mol0281	mol281	0	-98.655342	-31.925920	-66.729424	-66.729424
2hoj_LIGfilip-balloon_mol0282	mol282	0	-49.624508	-47.503277	-2.121231	-2.121231
2hoj_LIGfilip-balloon_mol0283	mol283	0	-5.770775	-41.350433	35.579659	35.579659
